constructorStandingsId,raceId,constructorId,points,position,positionText,wins
1,18,1,14.0,1,1,1
3,18,3,9.0,2,2,0
6,18,6,1.0,6,6,0
7,19,1,24.0,1,1,1
9,19,3,9.0,4,4,0
12,19,6,11.0,3,3,1
14,19,9,2.0,7,7,0
18,20,1,28.0,3,3,1
20,20,3,10.0,4,4,0
23,20,6,29.0,2,2,2
25,20,9,4.0,7,7,0
29,21,1,34.0,3,3,1
31,21,3,12.0,4,4,0
34,21,6,47.0,1,1,3
36,21,9,8.0,6,6,0
40,22,1,42.0,3,3,1
42,22,3,13.0,4,4,0
45,22,6,63.0,1,1,4
47,22,9,10.0,5,5,0
51,23,1,53.0,2,2,2
53,23,3,15.0,4,4,0
56,23,6,69.0,1,1,4
58,23,9,15.0,5,5,0
62,24,1,53.0,3,3,2
64,24,3,15.0,6,6,0
67,24,6,73.0,1,1,4
69,24,9,21.0,4,4,0
73,25,1,58.0,3,3,2
75,25,3,15.0,6,6,0
78,25,6,91.0,1,1,5
80,25,9,24.0,4,4,0
84,26,1,72.0,3,3,3
86,26,3,16.0,6,6,0
89,26,6,96.0,1,1,5
91,26,9,24.0,5,5,0
95,27,1,86.0,3,3,4
97,27,3,16.0,7,7,0
100,27,6,105.0,1,1,5
102,27,9,24.0,5,5,0
106,28,1,100.0,2,2,5
108,28,3,16.0,7,7,0
111,28,6,111.0,1,1,5
113,28,9,24.0,6,6,0
117,29,1,113.0,2,2,5
119,29,3,17.0,7,7,0
122,29,6,121.0,1,1,6
124,29,9,24.0,6,6,0
128,30,1,119.0,2,2,5
130,30,3,17.0,7,7,0
133,30,6,131.0,1,1,7
135,30,9,25.0,6,6,0
139,31,1,129.0,2,2,5
141,31,3,17.0,8,8,0
144,31,6,134.0,1,1,7
146,31,9,26.0,7,7,0
150,32,1,135.0,1,1,5
152,32,3,26.0,8,8,0
155,32,6,134.0,2,2,7
157,32,9,28.0,7,7,0
161,33,1,135.0,2,2,5
163,33,3,26.0,8,8,0
166,33,6,142.0,1,1,7
168,33,9,29.0,7,7,0
1640,34,9,29.0,7,7,0
1638,34,6,156.0,1,1,7
1635,34,3,26.0,8,8,0
1633,34,1,145.0,2,2,6
183,35,1,151.0,2,2,6
185,35,3,26.0,8,8,0
188,35,6,172.0,1,1,8
190,35,9,29.0,7,7,0
25741,36,9,0.0,8,8,0
25737,36,3,2.0,4,4,0
25752,37,9,0.0,6,6,0
25748,37,3,2.0,5,5,0
25763,38,9,0.0,6,6,0
25759,38,3,2.0,5,5,0
25756,38,1,44.0,11,E,1
25755,38,6,39.0,1,1,2
25774,39,9,4.0,6,6,0
25770,39,3,5.0,4,4,0
25767,39,1,58.0,11,E,1
25785,40,9,4.0,6,6,0
25781,40,3,7.0,4,4,0
25778,40,1,76.0,11,E,2
25796,41,9,4.0,6,6,0
25792,41,3,13.0,4,4,0
25789,41,1,88.0,11,E,3
25807,42,9,6.0,6,6,0
25803,42,3,13.0,4,4,0
25800,42,1,106.0,11,E,4
25818,43,9,6.0,6,6,0
25814,43,3,13.0,4,4,0
25811,43,1,114.0,11,E,4
25829,44,9,6.0,6,6,0
25825,44,3,13.0,4,4,0
25822,44,1,128.0,11,E,5
25840,45,9,16.0,5,5,0
25836,45,3,18.0,4,4,0
25833,45,1,138.0,11,E,5
25851,46,9,16.0,5,5,0
25847,46,3,20.0,4,4,0
25844,46,1,138.0,11,E,6
25862,47,9,16.0,5,5,0
25858,47,3,22.0,4,4,0
25855,47,1,148.0,11,E,6
25873,48,9,16.0,5,5,0
25869,48,3,25.0,4,4,0
25866,48,1,166.0,11,E,7
25884,49,9,18.0,5,5,0
25880,49,3,28.0,4,4,0
25877,49,1,192.0,11,E,7
25895,50,9,23.0,5,5,0
25891,50,3,28.0,4,4,0
25888,50,1,202.0,11,E,8
25906,51,9,24.0,5,5,0
25902,51,3,28.0,4,4,0
25899,51,1,210.0,11,E,8
25917,52,9,24.0,5,5,0
25913,52,3,33.0,4,4,0
25910,52,1,218.0,11,E,8
6322,53,9,1.0,6,6,0
6321,53,3,5.0,5,5,0
6319,53,1,10.0,2,2,0
6318,53,6,8.0,3,3,0
6333,54,9,1.0,8,8,0
6332,54,3,5.0,5,5,0
6330,54,1,15.0,3,3,0
6329,54,6,15.0,2,2,0
6344,55,9,2.0,8,8,0
6343,55,3,5.0,7,7,0
6341,55,1,23.0,2,2,0
6340,55,6,15.0,3,3,0
6355,56,9,2.0,8,8,0
6354,56,3,8.0,6,6,0
6352,56,1,33.0,2,2,0
6351,56,6,30.0,3,3,1
6366,57,9,2.0,8,8,0
6365,57,3,10.0,6,6,0
6363,57,1,38.0,3,3,0
6362,57,6,46.0,2,2,2
6377,58,9,2.0,8,8,0
6376,58,3,10.0,6,6,0
6374,58,1,42.0,3,3,0
6373,58,6,59.0,2,2,2
6388,59,9,8.0,8,8,0
6387,59,3,10.0,6,6,0
6385,59,1,50.0,3,3,0
6384,59,6,63.0,2,2,2
6399,60,9,8.0,8,8,0
6398,60,3,10.0,6,6,0
6396,60,1,59.0,3,3,0
6395,60,6,75.0,2,2,2
6410,61,9,9.0,8,8,0
6409,61,3,10.0,7,7,0
6407,61,1,65.0,3,3,0
6406,61,6,87.0,2,2,2
6421,62,9,11.0,7,7,0
6420,62,3,10.0,8,8,0
6418,62,1,65.0,3,3,0
6417,62,6,105.0,2,2,3
6432,63,9,11.0,7,7,0
6431,63,3,10.0,8,8,0
6429,63,1,71.0,3,3,0
6428,63,6,121.0,2,2,4
6443,64,9,12.0,7,7,0
6442,64,3,10.0,8,8,0
6440,64,1,77.0,3,3,0
6439,64,6,139.0,2,2,5
6454,65,9,16.0,7,7,0
6453,65,3,10.0,8,8,0
6451,65,1,85.0,3,3,0
6450,65,6,142.0,2,2,5
6465,66,9,16.0,7,7,0
6464,66,3,10.0,8,8,0
6462,66,1,89.0,3,3,0
6461,66,6,158.0,2,2,6
6476,67,9,16.0,7,7,0
6475,67,3,10.0,8,8,0
6473,67,1,97.0,3,3,0
6472,67,6,168.0,1,1,7
6488,68,9,16.0,7,7,0
6487,68,3,11.0,8,8,0
6485,68,1,101.0,3,3,0
6484,68,6,178.0,2,2,8
6500,69,9,16.0,7,7,0
6499,69,3,11.0,8,8,0
6497,69,1,105.0,3,3,0
6496,69,6,186.0,2,2,8
6512,70,9,16.0,7,7,0
6511,70,3,11.0,8,8,0
6509,70,1,110.0,3,3,0
6508,70,6,201.0,2,2,9
27949,71,15,0.0,7,7,0
27947,71,1,4.0,5,5,0
27946,71,3,4.0,4,4,0
27945,71,9,7.0,3,3,0
27944,71,6,8.0,2,2,0
27959,72,15,0.0,7,7,0
27957,72,1,9.0,6,6,0
27956,72,3,10.0,5,5,0
27955,72,9,11.0,3,3,0
27954,72,6,10.0,4,4,0
27969,73,15,2.0,7,7,0
27967,73,1,19.0,3,3,0
27966,73,3,13.0,4,4,0
27965,73,9,12.0,5,5,0
27964,73,6,10.0,6,6,0
27979,74,15,7.0,7,7,0
27977,74,1,25.0,3,3,0
27976,74,3,18.0,5,5,0
27975,74,9,13.0,6,6,0
27974,74,6,18.0,4,4,0
27989,75,15,7.0,7,7,0
27987,75,1,37.0,3,3,1
27986,75,3,21.0,4,4,0
27985,75,9,14.0,6,6,0
27984,75,6,18.0,5,5,0
27999,76,15,7.0,7,7,0
27997,76,1,51.0,2,2,2
27996,76,3,35.0,4,4,0
27995,76,9,14.0,6,6,0
27994,76,6,21.0,5,5,0
28009,77,15,7.0,7,7,0
28007,77,1,53.0,2,2,2
28006,77,3,43.0,4,4,0
28005,77,9,19.0,6,6,0
28004,77,6,31.0,5,5,0
28019,78,15,12.0,7,7,0
28017,78,1,63.0,2,2,3
28016,78,3,47.0,3,3,0
28015,78,9,22.0,6,6,0
28014,78,6,45.0,5,5,0
28029,79,15,12.0,7,7,0
28027,79,1,63.0,2,2,3
28026,79,3,47.0,4,4,0
28025,79,9,22.0,6,6,0
28024,79,6,63.0,3,3,1
28039,80,15,13.0,7,7,0
28037,80,1,71.0,2,2,3
28036,80,3,47.0,5,5,0
28035,80,9,22.0,6,6,0
28034,80,6,69.0,3,3,1
28049,81,15,13.0,7,7,0
28047,81,1,87.0,2,2,4
28046,81,3,47.0,5,5,0
28045,81,9,22.0,6,6,0
28044,81,6,74.0,3,3,1
28059,82,15,14.0,8,8,0
28057,82,1,95.0,2,2,4
28056,82,3,47.0,5,5,0
28055,82,9,24.0,6,6,0
28054,82,6,78.0,3,3,1
28069,83,15,14.0,8,8,0
28067,83,1,105.0,2,2,5
28066,83,3,52.0,5,5,0
28065,83,9,24.0,6,6,0
28064,83,6,86.0,3,3,1
28079,84,15,14.0,8,8,0
28077,84,1,121.0,2,2,6
28076,84,3,52.0,5,5,0
28075,84,9,27.0,6,6,0
28074,84,6,86.0,3,3,1
28089,85,15,14.0,8,8,0
28087,85,1,136.0,2,2,7
28086,85,3,54.0,5,5,0
28085,85,9,27.0,6,6,0
28084,85,6,86.0,3,3,1
28099,86,15,17.0,8,8,0
28097,86,1,146.0,2,2,8
