driverStandingsId,raceId,driverId,points,position,positionText,wins
1,18,1,10.0,1,1,1
4,18,4,5.0,4,4,0
9,19,1,14.0,1,1,1
12,19,4,6.0,7,7,0
27,20,1,14.0,3,3,1
30,20,4,6.0,9,9,0
48,21,1,20.0,2,2,1
51,21,4,6.0,10,10,0
69,22,1,28.0,3,3,1
72,22,4,9.0,8,8,0
91,23,1,38.0,1,1,2
94,23,4,9.0,8,8,0
113,24,1,38.0,2,2,2
116,24,4,9.0,9,9,0
135,25,1,38.0,4,4,2
138,25,4,10.0,9,9,0
157,26,1,48.0,1,1,3
160,26,4,13.0,9,9,0
179,27,1,58.0,1,1,4
182,27,4,13.0,9,9,0
201,28,1,62.0,1,1,4
204,28,4,18.0,8,8,0
223,29,1,70.0,1,1,4
226,29,4,18.0,8,8,0
245,30,1,76.0,1,1,4
248,30,4,23.0,8,8,0
267,31,1,78.0,1,1,4
270,31,4,28.0,7,7,0
289,32,1,84.0,1,1,4
292,32,4,38.0,7,7,1
311,33,1,84.0,1,1,4
314,33,4,48.0,7,7,2
3441,34,4,53.0,6,6,2
3438,34,1,94.0,1,1,5
355,35,1,98.0,1,1,5
358,35,4,61.0,5,5,2
13652,38,1,22.0,3,3,0
13651,38,4,22.0,1,1,1
13716,41,4,40.0,2,2,2
13738,42,4,48.0,2,2,2
13761,43,4,50.0,2,2,2
13784,44,4,58.0,2,2,2
13830,46,4,73.0,2,2,3
13853,47,4,79.0,2,2,3
13877,48,4,89.0,2,2,4
13901,49,4,95.0,2,2,4
13925,50,4,95.0,2,2,4
13949,51,4,103.0,2,2,4
13973,52,4,109.0,3,3,4
12807,53,4,10.0,1,1,1
12825,54,4,18.0,1,1,1
12846,55,4,28.0,1,1,2
12868,56,4,36.0,1,1,2
12890,57,4,44.0,1,1,2
12912,58,4,54.0,1,1,3
12934,59,4,64.0,1,1,4
12957,60,4,74.0,1,1,5
12980,61,4,84.0,1,1,6
13003,62,4,88.0,1,1,6
13026,63,4,96.0,1,1,6
13050,64,4,100.0,1,1,6
13074,65,4,100.0,1,1,6
13098,66,4,108.0,1,1,6
13123,67,4,108.0,1,1,6
13148,68,4,116.0,2,2,6
13175,69,4,126.0,1,1,7
13202,70,4,134.0,1,1,7
70783,71,4,6.0,3,3,0
70803,72,4,16.0,1,1,1
70824,73,4,26.0,1,1,2
70894,76,4,49.0,1,1,3
70918,77,4,59.0,1,1,4
70942,78,4,59.0,1,1,4
70966,79,4,59.0,1,1,4
70991,80,4,69.0,1,1,5
71016,81,4,77.0,1,1,5
71041,82,4,87.0,1,1,6
71067,83,4,87.0,1,1,6
71093,84,4,95.0,1,1,6
71119,85,4,103.0,1,1,6
71146,86,4,111.0,1,1,6
71173,87,4,117.0,1,1,6
71200,88,4,123.0,1,1,6
71227,89,4,133.0,1,1,7
12424,90,4,6.0,3,3,0
12438,91,4,8.0,5,5,0
12455,92,4,11.0,5,5,0
12474,93,4,16.0,5,5,0
12494,94,4,21.0,4,4,0
12514,95,4,21.0,6,6,0
12534,96,4,25.0,5,5,0
12554,97,4,25.0,5,5,0
12575,98,4,25.0,5,5,0
12596,99,4,33.0,5,5,0
12618,100,4,33.0,5,5,0
12640,101,4,39.0,5,5,0
12663,102,4,45.0,5,5,0
12686,103,4,45.0,5,5,0
12710,104,4,45.0,5,5,0
12734,105,4,50.0,4,4,0
12759,106,4,54.0,4,4,0
12784,107,4,59.0,4,4,0
12114,108,4,2.0,7,7,0
12125,109,4,8.0,5,5,0
12140,110,4,14.0,3,3,0
12157,111,4,17.0,4,4,0
12176,112,4,25.0,3,3,0
12196,113,4,25.0,4,4,0
12216,114,4,29.0,3,3,0
12236,115,4,34.0,3,3,0
12256,116,4,39.0,5,5,0
12276,117,4,39.0,6,6,0
12296,118,4,39.0,6,6,0
12316,119,4,44.0,6,6,0
12337,120,4,54.0,5,5,1
12358,121,4,55.0,6,6,1
12381,122,4,55.0,6,6,1
12404,123,4,55.0,6,6,1
11392,141,4,0.0,12,12,0
11405,142,4,0.0,16,16,0
11424,143,4,0.0,19,19,0
11444,144,4,0.0,20,20,0
11465,145,4,0.0,21,21,0
11487,146,4,0.0,21,21,0
11509,147,4,0.0,21,21,0
