qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714
12,18,4,4,5,12,1:26.907,1:26.188,\N
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835
174,26,4,4,5,6,1:20.998,1:19.992,1:22.029
189,27,1,1,22,1,1:15.218,1:14.603,1:15.666
193,27,4,4,5,5,1:15.917,1:14.943,1:16.385
209,28,1,1,22,1,1:19.376,1:19.473,1:20.899
215,28,4,4,5,7,1:20.229,1:19.816,1:21.698
230,29,1,1,22,2,1:38.464,1:37.954,1:39.199
240,29,4,4,5,12,1:38.268,1:38.435,\N
249,30,1,1,22,1,1:46.887,1:46.088,1:47.338
254,30,4,4,5,6,1:47.154,1:46.491,1:48.504
276,31,4,4,5,8,1:36.297,1:36.518,1:39.751
283,31,1,1,22,15,1:35.394,1:39.265,\N
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465
303,32,4,4,5,15,1:44.971,\N,\N
309,33,1,1,22,1,1:18.071,1:17.462,1:18.404
312,33,4,4,5,4,1:18.290,1:17.871,1:18.852
329,34,1,1,22,1,1:35.566,1:34.947,1:36.303
332,34,4,4,5,4,1:35.769,1:35.461,1:36.927
352,35,1,1,22,4,1:12.213,1:11.856,1:12.830
354,35,4,4,5,6,1:12.214,1:12.090,1:12.967
370,36,4,1,1,2,1:26.697,1:25.326,1:26.493
372,36,1,1,2,4,1:26.674,1:25.577,1:26.755
392,37,4,1,1,2,1:34.942,1:34.057,1:35.310
394,37,1,1,2,4,1:35.028,1:34.650,1:36.045
414,38,1,1,2,2,1:32.580,1:31.752,1:32.935
416,38,4,1,1,4,1:33.049,1:32.214,1:33.192
436,39,4,1,1,2,1:21.609,1:20.797,1:21.451
438,39,1,1,2,4,1:21.120,1:20.713,1:21.785
457,40,4,1,1,1,1:16.059,1:15.431,1:15.726
458,40,1,1,2,2,1:15.685,1:15.479,1:15.905
479,41,1,1,2,1,1:16.576,1:15.486,1:15.707
480,41,4,1,1,2,1:16.562,1:15.522,1:16.163
501,42,1,1,2,1,1:12.563,1:12.065,1:12.331
502,42,4,1,1,2,1:12.416,1:11.926,1:12.500
524,43,1,1,2,2,1:14.805,1:14.795,1:15.104
532,43,4,1,1,10,1:15.322,1:15.084,\N
545,44,1,1,2,1,1:19.885,1:19.400,1:19.997
547,44,4,1,1,3,1:19.330,1:19.152,1:20.147
568,45,4,1,1,2,1:31.074,1:30.983,1:31.741
576,45,1,1,2,10,1:31.587,1:31.185,1:33.833
589,46,4,1,1,1,1:20.425,1:19.661,1:19.674
590,46,1,1,2,2,1:19.570,1:19.301,1:19.781
612,47,1,1,2,2,1:27.513,1:26.936,1:27.373
614,47,4,1,1,4,1:27.328,1:26.841,1:27.574
633,48,4,1,1,1,1:21.718,1:21.356,1:21.997
634,48,1,1,2,2,1:21.956,1:21.746,1:22.034
657,49,4,1,1,3,1:46.058,1:45.442,1:46.091
658,49,1,1,2,4,1:46.437,1:45.132,1:46.406
677,50,1,1,2,1,1:25.489,1:24.753,1:25.368
678,50,4,1,1,2,1:25.379,1:24.806,1:25.438
699,51,1,1,2,1,1:35.798,1:35.898,1:35.908
702,51,4,1,1,4,1:35.809,1:35.845,1:36.576
722,52,1,1,2,2,1:13.033,1:12.296,1:12.082
724,52,4,1,1,4,1:12.895,1:12.637,1:12.356
746,53,4,4,1,4,1:32.433,1:31.215,1:31.702
772,54,4,4,1,8,1:35.514,1:33.997,1:35.747
789,55,4,4,1,3,1:28.569,1:25.729,1:25.778
813,56,4,4,1,5,1:23.536,1:23.743,1:23.709
831,57,4,4,1,1,1:31.138,1:30.336,1:29.816
853,58,4,4,1,1,1:15.816,1:15.124,1:14.648
875,59,4,4,1,1,1:14.232,1:13.622,1:13.962
897,60,4,4,1,1,1:21.018,1:20.271,1:20.253
919,61,4,4,1,1,1:15.350,1:14.726,1:14.942
945,62,4,4,1,5,1:12.416,1:11.877,1:12.449
965,63,4,4,1,3,1:16.328,1:15.706,1:15.785
991,64,4,4,1,7,1:15.518,1:14.746,1:15.282
1021,65,4,4,1,15,1:21.792,1:21.364,\N
1031,66,4,4,1,3,1:27.861,1:26.917,1:27.321
1060,67,4,4,1,10,1:21.747,1:21.526,1:25.688
1073,68,4,4,1,1,1:44.128,1:43.951,1:44.360
1099,69,4,4,1,5,1:30.976,1:30.357,1:30.371
1120,70,4,4,1,4,1:11.791,1:11.148,1:11.567
1144,77,4,4,5,6,1:31.056,\N,\N
1161,78,4,4,5,3,1:15.561,\N,\N
1184,79,4,4,5,6,1:11.380,\N,\N
1199,80,4,4,5,1,1:14.412,\N,\N
1219,81,4,4,5,1,1:19.905,\N,\N
1241,82,4,4,5,3,1:14.904,\N,\N
1264,83,4,4,5,6,1:21.141,\N,\N
1281,84,4,4,5,3,1:27.050,\N,\N
1301,85,4,4,5,3,1:21.319,\N,\N
1323,86,4,4,5,5,1:46.760,\N,\N
1339,87,4,4,5,1,1:11.988,\N,\N
1374,88,4,4,5,16,1:54.667,\N,\N
1379,89,4,4,5,1,1:34.080,\N,\N
1402,104,4,4,8,4,1:20.645,\N,\N
1419,109,4,4,8,1,1:37.044,\N,\N
1497,156,4,18,21,17,1:13.991,\N,\N
2997,1,4,4,7,12,1:26.026,1:25.605,\N
3000,1,1,1,1,15,1:26.454,\N,\N
3015,2,4,4,7,10,1:35.260,1:34.706,1:37.659
3018,2,1,1,1,13,1:35.280,1:34.905,\N
3027,3,4,4,7,2,1:36.443,1:35.803,1:36.381
3034,3,1,1,1,9,1:35.776,1:35.740,1:38.595
3050,4,1,1,1,5,1:32.851,1:32.877,1:34.196
3052,4,4,4,7,7,1:33.627,1:32.860,1:34.578
3073,5,4,4,7,8,1:21.186,1:20.509,1:21.392
3079,5,1,1,1,14,1:20.991,1:20.805,\N
3094,6,4,4,7,9,1:15.898,1:15.200,1:16.009
3101,6,1,1,1,16,1:16.264,\N,\N
3113,7,4,4,7,8,1:27.988,1:27.473,1:29.075
3121,7,1,1,1,16,1:28.318,\N,\N
3135,8,4,4,7,10,1:19.167,1:18.761,1:20.741
3144,8,1,1,1,19,1:19.917,\N,\N
3150,9,1,1,1,5,1:31.473,1:39.149,1:32.616
3157,9,4,4,7,12,1:31.302,1:42.318,\N
3166,10,4,4,7,1,1:21.313,1:20.826,1:21.569
3169,10,1,1,1,4,1:20.842,1:20.465,1:21.839
3186,11,1,1,1,1,1:38.649,1:38.182,1:39.489
3193,11,4,4,7,8,1:39.155,1:38.717,1:40.236
3217,12,1,1,1,12,1:45.767,1:45.122,\N
3218,12,4,4,7,13,1:45.707,1:45.136,\N
3226,13,1,1,1,1,1:23.375,1:22.973,1:24.066
3233,13,4,4,7,8,1:23.708,1:23.497,1:25.072
3246,14,1,1,1,1,1:46.977,1:46.657,1:47.891
3251,14,4,4,7,6,1:47.757,1:46.767,1:49.054
3268,15,1,1,1,3,1:30.917,1:30.627,1:32.395
3277,15,4,4,7,12,1:31.401,1:31.638,\N
3295,16,4,4,7,10,1:24.842,1:21.657,1:21.422
3303,16,1,1,1,18,1:25.192,\N,\N
3306,17,1,1,1,1,1:39.873,1:39.695,1:40.948
3321,17,4,4,7,16,1:41.667,\N,\N
3328,337,4,6,8,3,1:54.612,1:54.172,1:54.608
3329,337,1,1,2,4,1:55.341,1:54.707,1:55.217
3338,337,807,3,10,13,1:56.375,1:55.857,\N
3352,338,4,6,8,3,1:25.082,1:24.335,1:24.111
3360,338,1,1,2,11,1:25.046,1:25.184,\N
3364,338,807,3,10,15,1:25.866,1:25.748,\N
3378,339,807,3,10,5,1:49.664,1:47.346,1:51.001
3392,339,4,6,8,19,1:53.044,\N,\N
3393,339,1,1,2,20,1:53.050,\N,\N
3400,340,4,6,8,3,1:35.987,1:35.235,1:34.913
3403,340,1,1,2,6,1:35.641,1:34.928,1:35.034
3413,340,807,3,10,16,1:37.049,1:36.647,\N
3424,341,1,1,2,3,1:21.723,1:21.415,1:20.829
3425,341,4,6,8,4,1:21.957,1:21.549,1:20.937
3434,341,807,3,10,13,1:22.857,1:22.131,\N
3450,342,1,1,2,5,1:15.676,1:14.527,1:14.432
3456,342,807,3,10,11,1:16.030,1:15.317,\N
3469,342,4,6,8,24,\N,\N,\N
3471,343,1,1,2,2,1:27.667,1:27.013,1:26.433
3481,343,4,6,8,12,1:27.857,1:27.612,\N
3486,343,807,3,10,17,1:28.227,1:28.841,\N
3494,344,1,1,2,1,1:15.889,1:15.528,1:15.105
3497,344,4,6,8,4,1:16.171,1:15.597,1:15.435
3505,344,807,3,10,12,1:16.770,1:16.438,\N
3520,345,1,1,2,3,1:38.697,1:38.158,1:37.969
3521,345,4,6,8,4,1:38.472,1:38.179,1:38.075
3525,345,807,3,10,8,1:38.843,1:38.523,1:38.428
3544,346,4,6,8,3,1:30.997,1:30.700,1:30.426
3545,346,1,1,2,4,1:31.297,1:31.118,1:30.556
3554,346,807,3,10,13,1:32.144,1:31.635,\N
3567,347,4,6,8,2,1:14.808,1:14.081,1:13.793
3571,347,1,1,2,6,1:15.505,1:14.488,1:14.566
3575,347,807,3,10,10,1:16.387,1:14.943,1:15.339
3592,348,4,6,8,3,1:21.278,1:20.237,1:19.987
3594,348,1,1,2,5,1:21.455,1:20.877,1:20.499
3599,348,807,3,10,10,1:21.598,1:21.275,1:21.710
3615,349,1,1,2,2,1:56.706,1:46.211,1:45.863
3622,349,807,3,10,9,1:55.442,1:47.821,1:47.053
3623,349,4,6,8,10,1:57.023,1:47.544,1:47.441
3638,350,4,6,8,1,1:22.646,1:22.297,1:21.962
3642,350,1,1,2,5,1:22.830,1:22.394,1:22.623
3645,350,807,3,10,8,1:23.516,1:22.989,1:23.037
3662,351,4,6,8,1,1:46.541,1:45.809,1:45.390
3664,351,1,1,2,3,1:48.296,1:46.042,1:45.571
3673,351,807,3,10,12,1:47.984,1:47.674,\N
3688,352,1,1,2,3,1:32.809,1:31.523,1:31.169
3690,352,4,6,8,5,1:32.555,1:31.819,1:31.352
3694,352,807,3,10,9,1:32.211,1:31.926,1:31.559
3712,353,4,6,8,3,1:37.144,1:36.287,1:35.766
